Symbol,Last Trade,Change,Bid,Ask,Volume,Interest,Strike Price
XDECF,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,128
XDECJ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,129
EPACL,n.a.,n.a.,16.48,16.57,n.a.,910,129.5
XDECN,n.a.,n.a.,15.99,16.08,n.a.,100,130
EPACP,n.a.,n.a.,15.51,15.61,n.a.,110,130.5
XDECR,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,131
EPACT,n.a.,n.a.,14.54,14.64,n.a.,180,131.5
XDECV,13.99,0.02,13.99,14.09,n.a.,n.a.,132
EPACA,n.a.,n.a.,13.56,13.66,n.a.,100,132.5
XDECC,n.a.,n.a.,13.06,13.15,n.a.,10,133
EPACE,n.a.,n.a.,12.54,12.65,n.a.,n.a.,133.5
XDECG,n.a.,n.a.,12.07,12.17,n.a.,6,134
EPACI,n.a.,n.a.,11.61,11.71,n.a.,30,134.5
XDECK,n.a.,n.a.,11.1,11.2,n.a.,"2,147",135
EPACM,n.a.,n.a.,10.61,10.71,n.a.,n.a.,135.5
XDECO,n.a.,n.a.,10.16,10.26,n.a.,139,136
EPACQ,n.a.,n.a.,9.7,9.8,n.a.,354,136.5
XDECS,n.a.,n.a.,9.2,9.31,n.a.,"2,544",137
EPACU,n.a.,n.a.,8.76,8.87,n.a.,225,137.5
XDECW,n.a.,n.a.,8.27,8.39,n.a.,"4,055",138
EPACB,n.a.,n.a.,7.83,7.95,n.a.,267,138.5
XDECD,n.a.,n.a.,7.36,7.48,n.a.,"3,038",139
EPACF,n.a.,n.a.,6.94,7.06,n.a.,255,139.5
XDECH,n.a.,n.a.,6.49,6.61,n.a.,448,140
EPACJ,n.a.,n.a.,6.04,6.17,n.a.,n.a.,140.5
XDECL,n.a.,n.a.,5.64,5.77,n.a.,80,141
EPACN,n.a.,n.a.,5.24,5.38,n.a.,543,141.5
XDECP,4.26,-1.02,4.83,4.97,10,"1,570",142
EPACR,4.45,0.07,4.47,4.59,10,"5,858",142.5
XDECT,n.a.,n.a.,4.08,4.21,n.a.,"1,461",143
EPACV,n.a.,n.a.,3.74,3.87,n.a.,498,143.5
XDECA,3,-0.71,3.37,3.51,n.a.,"1,388",144
EPACC,n.a.,n.a.,3.06,3.2,n.a.,293,144.5
XDECE,n.a.,n.a.,2.75,2.89,n.a.,857,145
EPACG,2.13,-1.52,2.48,2.62,2,196,145.5
XDECI,n.a.,n.a.,2.2,2.34,n.a.,691,146
EPACK,n.a.,n.a.,1.97,2.1,n.a.,733,146.5
XDECM,1.6,-0.57,1.74,1.87,20,570,147
EPACO,n.a.,n.a.,1.54,1.65,n.a.,"1,152",147.5
XDECQ,1.27,-0.43,1.36,1.47,1,744,148
EPACS,n.a.,n.a.,1.19,1.32,n.a.,"1,202",148.5
XDECU,1.1,0,1.04,1.12,259,"9,581",149
EPACW,n.a.,n.a.,0.91,1.02,n.a.,"1,420",149.5
EPACD,n.a.,n.a.,0.69,0.79,n.a.,12,150.5
EPACH,0.38,-0.17,0.38,0.88,n.a.,n.a.,151.5
EPACX,n.a.,n.a.,0.39,0.47,n.a.,482,152.5
EPACY,n.a.,n.a.,0.29,0.37,n.a.,90,153.5
EPACZ,n.a.,n.a.,0.22,0.29,n.a.,65,154.5
