Symbol,Last Trade,Change,Bid,Ask,Volume,Interest,Strike Price
XDEOF,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,128
XDEOJ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,129
EPAOL,n.a.,n.a.,0.06,0.15,n.a.,701,129.5
XDEON,n.a.,n.a.,0.07,0.15,n.a.,375,130
EPAOP,n.a.,n.a.,0.07,0.15,n.a.,575,130.5
XDEOR,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,131
EPAOT,n.a.,n.a.,0.08,0.15,n.a.,250,131.5
XDEOV,0.09,0.02,0.09,0.15,n.a.,n.a.,132
EPAOA,n.a.,n.a.,0.1,0.15,n.a.,200,132.5
XDEOC,n.a.,n.a.,0.11,0.15,n.a.,110,133
EPAOE,n.a.,n.a.,0.11,0.16,n.a.,156,133.5
XDEOG,n.a.,n.a.,0.13,0.17,n.a.,211,134
EPAOI,n.a.,n.a.,0.14,0.18,n.a.,115,134.5
XDEOK,n.a.,n.a.,0.15,0.2,n.a.,"1,015",135
EPAOM,n.a.,n.a.,0.17,0.22,n.a.,317,135.5
XDEOO,n.a.,n.a.,0.19,0.24,n.a.,369,136
EPAOQ,n.a.,n.a.,0.21,0.27,n.a.,542,136.5
XDEOS,n.a.,n.a.,0.24,0.3,n.a.,"1,033",137
EPAOU,n.a.,n.a.,0.27,0.33,n.a.,331,137.5
XDEOW,n.a.,n.a.,0.3,0.37,n.a.,251,138
EPAOB,n.a.,n.a.,0.34,0.41,n.a.,300,138.5
XDEOD,n.a.,n.a.,0.39,0.46,n.a.,97,139
EPAOF,n.a.,n.a.,0.44,0.52,n.a.,351,139.5
XDEOH,n.a.,n.a.,0.5,0.59,n.a.,660,140
EPAOJ,n.a.,n.a.,0.57,0.66,n.a.,614,140.5
XDEOL,n.a.,n.a.,0.65,0.74,n.a.,606,141
EPAON,0.81,-0.07,0.74,0.83,3,101,141.5
XDEOP,n.a.,n.a.,0.84,0.94,n.a.,256,142
EPAOR,1,0.2,0.94,1.05,10,230,142.5
XDEOT,n.a.,n.a.,1.06,1.18,n.a.,791,143
EPAOV,1.4,0.48,1.19,1.32,5,"1,291",143.5
XDEOA,n.a.,n.a.,1.36,1.48,n.a.,"1,994",144
EPAOC,n.a.,n.a.,1.52,1.65,n.a.,263,144.5
XDEOE,1.81,0.07,1.72,1.85,29,"1,028",145
EPAOG,2.32,0.84,1.92,2.06,10,600,145.5
XDEOI,2.65,0.63,2.16,2.3,20,521,146
EPAOK,n.a.,n.a.,2.41,2.55,n.a.,400,146.5
XDEOM,n.a.,n.a.,2.69,2.83,n.a.,117,147
EPAOO,n.a.,n.a.,2.97,3.11,n.a.,533,147.5
XDEOQ,n.a.,n.a.,3.29,3.43,n.a.,"3,150",148
EPAOS,n.a.,n.a.,3.61,3.75,n.a.,340,148.5
XDEOU,n.a.,n.a.,3.97,4.11,n.a.,814,149
EPAOW,4.55,0.65,4.32,4.46,100,100,149.5
EPAOD,n.a.,n.a.,5.09,5.23,n.a.,200,150.5
EPAOH,5.49,-0.41,5.49,6.49,n.a.,n.a.,151.5
EPAOX,n.a.,n.a.,6.78,6.9,n.a.,24,152.5
EPAOY,6.95,-0.64,6.95,8.45,n.a.,n.a.,153.5
EPAOZ,7.85,-0.66,7.85,9.35,n.a.,n.a.,154.5
